,Symbol,Year,Altman Z-Score,Bankruptcy Likelihood
815,TDG,2014,2.31806,grey zone
816,TDG,2016,3.74257,safe
817,BXP,2013,0.75564,bankruptcy imminent
818,BXP,2012,1.06436,bankruptcy imminent
819,BXP,2014,0.96705,bankruptcy imminent
820,BXP,2015,1.09616,bankruptcy imminent
821,HP,2013,4.11031,safe
822,HP,2015,2.78117,grey zone
823,HP,2014,5.10395,safe
824,HP,2016,2.96433,grey zone
825,MRK,2013,2.59696,grey zone
826,MRK,2012,2.51147,grey zone
827,MRK,2014,3.51999,safe
828,MRK,2015,2.58505,grey zone
829,DGX,2013,2.59089,grey zone
830,DGX,2012,2.4871,grey zone
831,DGX,2014,2.35628,grey zone
832,DGX,2015,2.62826,grey zone
833,FDX,2013,3.97247,safe
834,FDX,2015,3.03304,safe
835,FDX,2014,3.55185,safe
836,FDX,2016,2.32257,grey zone
837,RSG,2013,1.01936,bankruptcy imminent
838,RSG,2015,1.20614,bankruptcy imminent
839,RSG,2014,1.11651,bankruptcy imminent
840,DD,2013,2.00839,grey zone
841,DD,2015,2.21165,grey zone
842,DD,2014,2.21662,grey zone
843,TAP,2013,1.46743,bankruptcy imminent
844,TAP,2015,2.74061,grey zone
845,TAP,2014,1.98782,grey zone
846,CINF,2013,0.92529,bankruptcy imminent
847,CINF,2012,0.80806,bankruptcy imminent
848,CINF,2014,0.8904,bankruptcy imminent
849,CINF,2015,0.98289,bankruptcy imminent
850,NLSN,2013,1.34843,bankruptcy imminent
851,NLSN,2015,1.39388,bankruptcy imminent
852,NLSN,2014,1.32224,bankruptcy imminent
853,ILMN,2013,6.5459,safe
854,ILMN,2014,9.42606,safe
855,ILMN,2016,10.63344,safe
856,COG,2013,4.34321,safe
857,COG,2012,1.88266,grey zone
858,COG,2014,2.75991,grey zone
859,COG,2015,1.68419,bankruptcy imminent
860,ADI,2013,7.89143,safe
861,ADI,2015,42.70957,safe
862,ADI,2014,27.30985,safe
863,ADI,2016,14.1614,safe
864,RCL,2013,0.96356,bankruptcy imminent
865,RCL,2012,0.73263,bankruptcy imminent
866,RCL,2014,1.36274,bankruptcy imminent
867,RCL,2015,1.50494,bankruptcy imminent
868,CAG,2013,1.16219,bankruptcy imminent
869,CAG,2015,1.29334,bankruptcy imminent
870,CAG,2014,1.1919,bankruptcy imminent
871,CAG,2016,1.75459,bankruptcy imminent
872,DIS,2013,3.31183,safe
873,DIS,2015,3.95559,safe
874,DIS,2014,3.86783,safe
875,DIS,2016,3.49784,safe
876,CTXS,2013,5.0727,safe
877,CTXS,2015,3.45057,safe
878,CTXS,2014,3.24542,safe
879,CSRA,2016,0.78728,bankruptcy imminent
880,URBN,2013,10.94201,safe
881,URBN,2015,7.44827,safe
882,URBN,2014,8.32791,safe
883,URBN,2016,4.78317,safe
884,JPM,2013,0.21032,bankruptcy imminent
885,JPM,2012,0.1951,bankruptcy imminent
886,JPM,2014,0.2094,bankruptcy imminent
887,JPM,2015,0.24188,bankruptcy imminent
888,GM,2013,0.87395,bankruptcy imminent
889,GM,2015,0.55196,bankruptcy imminent
890,GM,2014,0.72414,bankruptcy imminent
891,SNI,2013,4.83723,safe
892,SNI,2012,3.73747,safe
893,SNI,2014,3.1439,safe
894,SNI,2015,1.7598,bankruptcy imminent
895,MDLZ,2013,1.47463,bankruptcy imminent
896,MDLZ,2012,1.12675,bankruptcy imminent
897,MDLZ,2014,1.49672,bankruptcy imminent
898,MDLZ,2015,2.26156,grey zone
899,HCA,2013,1.28414,bankruptcy imminent
900,HCA,2015,1.57437,bankruptcy imminent
901,HCA,2014,1.59287,bankruptcy imminent
902,TMK,2013,0.61958,bankruptcy imminent
903,TMK,2012,0.54101,bankruptcy imminent
904,TMK,2014,0.64635,bankruptcy imminent
905,TMK,2015,0.66678,bankruptcy imminent
906,NFLX,2013,1.03623,bankruptcy imminent
907,NFLX,2015,4.19968,safe
908,NFLX,2014,1.02934,bankruptcy imminent
909,MKC,2013,3.21919,safe
910,MKC,2015,3.36665,safe
911,MKC,2014,3.30749,safe
912,FBHS,2013,3.67606,safe
913,FBHS,2015,3.04716,safe
